benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_308961028cf363fa,3,dorsal fin origin,2,2.0,0.0,2.0
flm_308961028cf363fa,4,dorsal fin insertion,2,1.5,0.5,1.5811388300841898
flm_308961028cf363fa,5,upper caudal fin insertion,2,0.5,0.5,0.7071067811865476
flm_308961028cf363fa,6,caudal peduncle midpoint,2,0.0,2.0,2.0
flm_308961028cf363fa,7,lower caudal fin insertion,2,1.5,2.5,2.9154759474226504
flm_308961028cf363fa,8,anal fin origin,2,2.5,1.0,2.692582403567252
flm_308961028cf363fa,9,pelvic fin origin,2,0.5,0.0,0.5
flm_308961028cf363fa,10,pectoral fin base,2,0.5,0.0,0.5
flm_308961028cf363fa,11,posterior opercular margin,2,1.0,0.0,1.0
flm_31a44b6b2de8d507,1,snout tip,2,0.5,0.0,0.5
flm_31a44b6b2de8d507,2,nape dorsal outline,2,0.0,0.0,0.0
flm_31a44b6b2de8d507,3,dorsal fin origin,2,2.5,1.5,2.9154759474226504
flm_31a44b6b2de8d507,4,dorsal fin insertion,2,1.5,1.0,1.8027756377319946
flm_31a44b6b2de8d507,5,upper caudal fin insertion,2,2.5,0.5,2.5495097567963922
flm_31a44b6b2de8d507,6,caudal peduncle midpoint,2,3.0,1.0,3.1622776601683795
flm_31a44b6b2de8d507,7,lower caudal fin insertion,2,1.5,1.5,2.1213203435596424
flm_31a44b6b2de8d507,8,anal fin origin,2,0.5,0.5,0.7071067811865476
flm_31a44b6b2de8d507,9,pelvic fin origin,2,1.0,1.0,1.4142135623730951
flm_31a44b6b2de8d507,10,pectoral fin base,2,1.5,0.5,1.5811388300841898
flm_31a44b6b2de8d507,11,posterior opercular margin,2,0.5,1.0,1.118033988749895
flm_32d7f253189cadcb,1,snout tip,2,1.5,1.5,2.1213203435596424
flm_32d7f253189cadcb,2,nape dorsal outline,2,0.0,1.0,1.0
flm_32d7f253189cadcb,3,dorsal fin origin,2,0.5,0.5,0.7071067811865476
flm_32d7f253189cadcb,4,dorsal fin insertion,2,0.0,6.0,6.0
flm_32d7f253189cadcb,5,upper caudal fin insertion,2,0.5,2.0,2.0615528128088303
flm_32d7f253189cadcb,6,caudal peduncle midpoint,2,3.0,0.5,3.0413812651491097
flm_32d7f253189cadcb,7,lower caudal fin insertion,2,0.0,1.0,1.0
flm_32d7f253189cadcb,8,anal fin origin,2,1.0,0.5,1.118033988749895
flm_32d7f253189cadcb,9,pelvic fin origin,2,1.0,0.5,1.118033988749895
flm_32d7f253189cadcb,10,pectoral fin base,2,0.5,3.0,3.0413812651491097
flm_32d7f253189cadcb,11,posterior opercular margin,2,0.5,2.0,2.0615528128088303
flm_352ae485b3f9d381,1,snout tip,2,0.0,1.0,1.0
flm_352ae485b3f9d381,2,nape dorsal outline,2,0.0,2.5,2.5
flm_352ae485b3f9d381,3,dorsal fin origin,2,1.0,3.0,3.1622776601683795
flm_352ae485b3f9d381,4,dorsal fin insertion,2,0.5,5.0,5.024937810560445
flm_352ae485b3f9d381,5,upper caudal fin insertion,2,1.0,1.5,1.8027756377319946
flm_352ae485b3f9d381,6,caudal peduncle midpoint,2,0.5,0.5,0.7071067811865476
flm_352ae485b3f9d381,7,lower caudal fin insertion,2,0.5,1.0,1.118033988749895
flm_352ae485b3f9d381,8,anal fin origin,2,2.0,3.5,4.031128874149275
flm_352ae485b3f9d381,9,pelvic fin origin,2,0.0,3.5,3.5
flm_352ae485b3f9d381,10,pectoral fin base,2,0.5,1.5,1.5811388300841898
flm_352ae485b3f9d381,11,posterior opercular margin,2,0.0,0.0,0.0
flm_3c3aed05278440ca,1,snout tip,2,1.0,0.5,1.118033988749895
flm_3c3aed05278440ca,2,nape dorsal outline,2,5.5,0.0,5.5
flm_3c3aed05278440ca,3,dorsal fin origin,2,1.5,0.5,1.5811388300841898
flm_3c3aed05278440ca,4,dorsal fin insertion,2,4.0,0.5,4.031128874149275
flm_3c3aed05278440ca,5,upper caudal fin insertion,2,11.5,0.5,11.510864433221338
flm_3c3aed05278440ca,6,caudal peduncle midpoint,2,2.0,1.0,2.23606797749979
flm_3c3aed05278440ca,7,lower caudal fin insertion,2,5.5,0.5,5.522680508593631
flm_3c3aed05278440ca,8,anal fin origin,2,4.0,2.0,4.47213595499958
flm_3c3aed05278440ca,9,pelvic fin origin,2,1.0,0.5,1.118033988749895
flm_3c3aed05278440ca,10,pectoral fin base,2,2.5,2.5,3.5355339059327378
flm_3c3aed05278440ca,11,posterior opercular margin,2,0.0,1.5,1.5
flm_3e74a0ca7d76b9f5,1,snout tip,2,1.0,0.5,1.118033988749895
flm_3e74a0ca7d76b9f5,2,nape dorsal outline,2,7.0,1.5,7.158910531638177
flm_3e74a0ca7d76b9f5,3,dorsal fin origin,2,1.0,0.0,1.0
flm_3e74a0ca7d76b9f5,4,dorsal fin insertion,2,5.5,1.0,5.5901699437494745
flm_3e74a0ca7d76b9f5,5,upper caudal fin insertion,2,0.0,0.5,0.5
flm_3e74a0ca7d76b9f5,6,caudal peduncle midpoint,2,4.0,0.5,4.031128874149275
flm_3e74a0ca7d76b9f5,7,lower caudal fin insertion,2,0.5,0.0,0.5
flm_3e74a0ca7d76b9f5,8,anal fin origin,2,1.5,0.5,1.5811388300841898
flm_3e74a0ca7d76b9f5,9,pelvic fin origin,2,2.0,1.0,2.23606797749979
flm_3e74a0ca7d76b9f5,10,pectoral fin base,2,1.0,1.0,1.4142135623730951
flm_3e74a0ca7d76b9f5,11,posterior opercular margin,2,1.0,3.5,3.640054944640259
flm_445fe8b9978f4773,1,snout tip,2,0.0,1.0,1.0
flm_445fe8b9978f4773,2,nape dorsal outline,2,8.5,0.5,8.514693182963201
flm_445fe8b9978f4773,3,dorsal fin origin,2,2.0,0.5,2.0615528128088303
flm_445fe8b9978f4773,4,dorsal fin insertion,2,4.0,1.5,4.272001872658765
flm_445fe8b9978f4773,5,upper caudal fin insertion,2,9.0,1.5,9.12414379544733
flm_445fe8b9978f4773,6,caudal peduncle midpoint,2,0.5,1.0,1.118033988749895
flm_445fe8b9978f4773,7,lower caudal fin insertion,2,3.0,1.0,3.1622776601683795
flm_445fe8b9978f4773,8,anal fin origin,2,3.0,0.5,3.0413812651491097
flm_445fe8b9978f4773,9,pelvic fin origin,2,2.5,0.5,2.5495097567963922
flm_445fe8b9978f4773,10,pectoral fin base,2,1.0,1.0,1.4142135623730951
flm_445fe8b9978f4773,11,posterior opercular margin,2,0.5,0.5,0.7071067811865476
flm_44ecc00d45cb1d79,1,snout tip,2,0.0,1.0,1.0
flm_44ecc00d45cb1d79,2,nape dorsal outline,2,0.0,8.5,8.5
flm_44ecc00d45cb1d79,3,dorsal fin origin,2,3.0,1.0,3.1622776601683795
